epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5421.86,1.24085,0.60517,0.85075,0.75688,0.54941,0.6068,0.32658,1.31305,0.65553,0.87845,0.000190218,0.000190218,0.000190218
43,5563.07,1.23538,0.6015,0.84914,0.75607,0.549,0.605,0.32587,1.31338,0.65481,0.87781,0.000180516,0.000180516,0.000180516
44,5703.72,1.2326,0.60044,0.84839,0.74711,0.55519,0.60735,0.32791,1.30484,0.65377,0.87777,0.000170814,0.000170814,0.000170814
45,5844.04,1.23232,0.60084,0.84911,0.74818,0.55333,0.6074,0.32573,1.31533,0.65751,0.87837,0.000161112,0.000161112,0.000161112
46,5984.31,1.22756,0.59788,0.84853,0.75024,0.55317,0.60721,0.3276,1.30706,0.65411,0.87798,0.00015141,0.00015141,0.00015141
47,6124.58,1.22963,0.59792,0.84834,0.74868,0.55355,0.60689,0.32619,1.31203,0.65462,0.87845,0.000141708,0.000141708,0.000141708
48,6265.28,1.22276,0.59569,0.84784,0.74973,0.55264,0.60693,0.32687,1.30941,0.65362,0.87822,0.000132006,0.000132006,0.000132006
49,6405.56,1.21808,0.59259,0.84642,0.74877,0.55253,0.60632,0.32667,1.31263,0.65372,0.87819,0.000122304,0.000122304,0.000122304
50,6545.96,1.21827,0.59142,0.84692,0.74651,0.55408,0.6068,0.32747,1.30972,0.65499,0.87708,0.000112602,0.000112602,0.000112602
51,6701.6,1.18703,0.57645,0.84649,0.75026,0.5447,0.60218,0.32409,1.31848,0.65815,0.87951,0.0001029,0.0001029,0.0001029
52,6838.36,1.17476,0.56758,0.84459,0.74943,0.54774,0.60371,0.32398,1.32345,0.65939,0.8808,9.3198e-05,9.3198e-05,9.3198e-05
53,6975.32,1.17116,0.56534,0.84431,0.74471,0.54969,0.60357,0.32479,1.31559,0.65729,0.879,8.3496e-05,8.3496e-05,8.3496e-05
54,7112.39,1.16581,0.56144,0.84369,0.75019,0.54839,0.60366,0.32495,1.3177,0.65669,0.87989,7.3794e-05,7.3794e-05,7.3794e-05
55,7248.79,1.16651,0.5613,0.84323,0.74897,0.54897,0.60472,0.32483,1.31884,0.65745,0.88021,6.4092e-05,6.4092e-05,6.4092e-05
56,7385.54,1.16117,0.55852,0.84276,0.74733,0.5513,0.60614,0.32567,1.31562,0.65661,0.8792,5.439e-05,5.439e-05,5.439e-05
57,7521.64,1.15877,0.55727,0.84247,0.7474,0.55,0.60439,0.32553,1.31641,0.65601,0.87988,4.4688e-05,4.4688e-05,4.4688e-05
58,7658.22,1.15933,0.557,0.84095,0.75087,0.54918,0.60571,0.32558,1.31916,0.6567,0.88015,3.4986e-05,3.4986e-05,3.4986e-05
59,7794.55,1.1548,0.55436,0.84272,0.75317,0.54805,0.60611,0.32595,1.31623,0.65509,0.87971,2.5284e-05,2.5284e-05,2.5284e-05
60,7930.22,1.15555,0.55448,0.84165,0.75024,0.54958,0.60594,0.32566,1.3166,0.65514,0.87978,1.5582e-05,1.5582e-05,1.5582e-05
